Variable;Value;OR;LCI;UCI;p value;OR;LCI;UCI;p value;OR;LCI;UCI;p value (Bayesian)
Sex;Male;;;;;;;;;;;;
Sex;Female;0.982;0.651;1.480;0.930;0.992;0.447;2.200;0.984;0.917;0.583;1.498;0.688
Age;<20;0.716;0.211;1.840;0.535;1.610;0.173;12.500;0.657;0.593;0.144;1.901;0.642
Age;20-34;;;;;;;;;;;;
Age;35-49;0.902;0.533;1.530;0.701;2.750;0.644;13.600;0.187;0.835;0.432;1.494;0.402
Age;50-64;0.695;0.380;1.240;0.225;0.836;0.166;3.970;0.821;0.643;0.331;1.206;0.187
Age;65-79;0.851;0.414;1.640;0.642;3.250;0.509;20.600;0.199;0.786;0.362;1.788;0.581
Age;>80;0.269;0.015;1.270;0.198;0.006;0.000;3.190;0.183;0.134;0.006;1.150;0.140
Sex*;Male;;;;;;;;;;;;
Sex*;Female;0.981;0.651;1.480;0.928;0.987;0.444;2.190;0.973;0.901;0.595;1.405;0.652
Age*;<20;0.715;0.210;1.840;0.533;1.630;0.174;12.700;0.651;0.606;0.165;1.930;0.397
Age*;20-34;;;;;;;;;;;;
Age*;35-49;0.902;0.533;1.530;0.700;2.750;0.645;13.600;0.186;0.797;0.413;1.465;0.492
Age*;50-64;0.694;0.380;1.240;0.224;0.833;0.165;3.970;0.819;0.643;0.320;1.223;0.213
Age*;65-79;0.852;0.415;1.650;0.645;3.240;0.508;20.600;0.200;0.780;0.323;1.750;0.576
Age*;>80;0.268;0.015;1.270;0.197;0.006;0.000;3.160;0.181;0.121;0.006;1.156;0.072
Country of birth *;Germany;;;;;;;;;;;;
Country of birth *;Others;0.989;0.531;1.720;0.971;0.538;0.094;2.330;0.442;0.867;0.408;1.696;0.715
Education level *;<12 years of school;;;;;;;;;;;;
Education level *;>= 12 years of school;0.842;0.518;1.400;0.497;0.619;0.165;2.390;0.471;0.717;0.362;1.332;0.268
Education level *;Pursuing school;0.743;0.113;2.830;0.704;0.300;0.0142;4.080;0.393;0.329;0.041;2.124;0.284
Employment status Current *;Employed;;;;;;;;;;;;
Employment status Current *;Self Employed;1.890;0.966;3.48;0.7984;1.200;0.232;5.300;0.818;1.800;0.867;3.701;0.109
Employment status Current *;Unemployed;1.030;0.582;1.75;0.0487;0.916;0.257;3.020;0.888;0.913;0.465;1.704;0.792
Employment status Current *;Others;1.210;0.195;3.99;0.9138;1.640;0.038;19.500;0.743;1.062;0.133;5.746;0.883
Employment status Past Year *;No;;;;;;;;;;;;
Employment status Past Year *;Yes;2.000;0.993;4.620;0.074;2.290;0.583;11.600;0.269;1.409;0.633;3.185;0.463
Employment Risk Job (any) *;No;;;;;;;;;;;;
Employment Risk Job (any) *;Yes;1.530;0.893;2.500;0.105;2.680;0.805;8.710;0.100;1.531;0.802;2.792;0.164
Employment Healthcare *;No;;;;;;;;;;;;
Employment Healthcare *;Yes;1.510;0.578;3.250;0.342;1.710;0.202;10.100;0.587;1.488;0.438;4.085;0.472
Employment Sales *;No;;;;;;;;;;;;
Employment Sales *;Yes;0.421;0.024;1.920;0.392;0.001;0.000;1.980;0.088;0.222;0.008;1.938;0.253
Smoking *;Non Smoker;;;;;;;;;;;;
Smoking *;Past Smoker;0.872;0.502;1.470;0.616;0.682;0.181;2.320;0.550;0.712;0.370;1.287;0.253
Smoking *;Current Smoker;0.890;0.469;1.590;0.704;1.120;0.251;4.410;0.873;0.737;0.344;1.489;0.398
Net Monthly Income *;<2500;2.010;0.766;5.570;0.160;2.130;0.040;312.000;0.678;2.486;0.179;11.492;0.245
Net Monthly Income *;2500-4000;;;;;;;;;;;;
Net Monthly Income *;4000-6000;1.870;0.817;4.820;0.159;2.110;0.098;272.000;0.652;3.268;0.271;11.083;0.196
Net Monthly Income *;>6000;2.130;0.935;5.450;0.088;1.990;0.079;262.000;0.683;3.284;0.326;14.050;0.228
Household Type*;Couple;;;;;;;;;;;;
Household Type*;Family;1.110;0.648;1.940;0.700;1.040;0.132;8.920;0.972;1.190;0.415;3.193;0.704
Household Type*;Others;1.900;0.933;3.750;0.068;1.920;0.088;22.400;0.607;3.025;0.930;9.627;0.077
Household Type*;Single;1.260;0.607;2.500;0.513;1.880;0.156;18.200;0.568;1.395;0.327;3.771;0.479
Household Size*;1;;;;;;;;;;;;
Household Size*;2;0.747;0.415;1.400;0.343;0.503;0.074;4.060;0.469;0.673;0.212;1.806;0.497
Household Size*;3-4;0.684;0.370;1.310;0.235;0.456;0.055;3.990;0.438;0.591;0.178;1.690;0.315
Household Size*;>5;1.350;0.632;2.860;0.431;0.831;0.029;10.500;0.890;1.959;0.514;8.178;0.328
Housing Type*;;;;;;;;;;;;;
Housing Type*;Buildings with 1-2 apartments;;;;;;;;;;;;
Housing Type*;Buildings with 3-4 apartments;0.435;0.103;1.240;0.173;0.496;0.000;11.600;0.741;0.350;0.052;1.380;0.204
Housing Type*;Buildings with >5 apartments;0.923;0.591;1.480;0.731;1.100;0.234;7.680;0.909;0.879;0.453;1.640;0.701
Living Area/Inhabitant*;<30sqm/individual(Q1);;;;;;;;;;;;
Living Area/Inhabitant*;30-40sqm/individual(Q2);1.570;0.916;2.710;0.099;1.570;0.181;14.300;0.662;2.191;0.936;5.110;0.091
Living Area/Inhabitant*;40-55sqm/individual(Q3);0.651;0.284;1.360;0.275;0.669;0.018;8.900;0.772;0.685;0.270;1.875;0.425
Living Area/Inhabitant*;>55sqm/individual(Q4);1.670;0.869;3.160;0.117;2.130;0.233;20.700;0.476;2.649;0.950;7.266;0.071
Face Mask Usage;Almost surely;;;;;;;;;;;;
Face Mask Usage;Frequently/Rarely;1.200;0.737;1.920;0.447;1.680;0.531;5.270;0.370;1.248;0.708;2.208;0.459
Loss of Sense Taste/Smell;No;;;;;;;;;;;;
Loss of Sense Taste/Smell;Yes;16.300;7.430;32.600;0.000;41.300;6.720;231.000;0.000;28.154;9.249;90.220;0.000
Overall Health;Excellent;;;;;;;;;;;;
Overall Health;Very good;1.270;0.681;2.560;0.471;0.764;0.160;4.190;0.742;0.937;0.369;1.860;0.953
Overall Health;Good;1.140;0.568;2.410;0.718;0.965;0.183;5.850;0.967;0.790;0.307;1.788;0.604
Overall Health;Not Good;1.580;0.424;4.820;0.448;1.450;0.0762;18.900;0.787;0.965;0.218;3.660;0.996
Respiratory Allergies;No;;;;;;;;;;;;
Respiratory Allergies;Yes;1.200;0.734;1.900;0.459;3.250;1.100;10.300;0.036;1.209;0.669;2.158;0.511
Skin Allergies;No;;;;;;;;;;;;
Skin Allergies;Yes;1.200;0.630;2.130;0.547;3.170;0.814;12.000;0.086;1.276;0.621;2.643;0.531
Autoimmune;No;;;;;;;;;;;;
Autoimmune;Yes;1.100;0.421;2.350;0.831;1.150;0.140;6.430;0.883;0.975;0.298;2.752;0.996
Cancer;No;;;;;;;;;;;;
Cancer;Yes;0.813;0.195;2.270;0.731;0.555;0.0382;4.790;0.629;0.635;0.144;2.342;0.555
Cardiovascular ;No;;;;;;;;;;;;
Cardiovascular ;Yes;1.240;0.635;2.310;0.510;1.010;0.213;4.200;0.995;1.160;0.532;2.276;0.677
Diabetes;No;;;;;;;;;;;;
Diabetes;Yes;1.090;0.259;3.060;0.893;0.392;0.006;6.040;0.580;0.778;0.145;3.170;0.772
Lungdisease;No;;;;;;;;;;;;
Lungdisease;Yes;1.480;0.683;2.840;0.275;2.810;0.570;11.800;0.174;1.584;0.644;3.717;0.304
Obesity;No;;;;;;;;;;;;
Obesity;Yes;1.400;0.537;3.020;0.436;0.508;0.027;4.670;0.603;1.124;0.346;3.138;0.805
